Dia,Descricao
[' 07 qui '],"['Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora. ']"
[' 08 sex '],"['Sol, com chuva de manhã e diminuição de nuvens à tarde. Noite com pouca nebulosidade. ']"
[' 09 sáb '],['Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite. ']
[' 10 dom '],"['Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora. ']"
[' 11 seg '],"['Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora. ']"
[' 12 ter '],"['Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora. ']"
[' 13 qua '],['Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite. ']
[' 14 qui '],"['Sol, com chuva de manhã e diminuição de nuvens à tarde. Noite com pouca nebulosidade. ']"
[' 15 sex '],['Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite. ']
[' 16 sáb '],['Sol com algumas nuvens. Não chove. ']
[' 17 dom '],['Sol com algumas nuvens. Não chove. ']
[' 18 seg '],"['Sol, com chuva de manhã e diminuição de nuvens à tarde. Noite com pouca nebulosidade. ']"
[' 19 ter '],['Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite. ']
[' 20 qua '],['Sol com algumas nuvens. Não chove. ']
[' 21 qui '],['Sol com algumas nuvens. Não chove. ']
